Competition,Location,Date,Competitor Name,Country,Judging,Finals,Round 2,Round 3,Routine,Total,Place,Competition Type
2011 Flex Pro,"Los Angeles, California","February 19, 2011",Ben Pakulski,Canada,26,28,,,,54,5,Men's Bodybuilding
2011 Flex Pro,"Los Angeles, California","February 19, 2011",Adorthus Cherry,USA,48,DNF,,,,,DNF,Men's Bodybuilding
2011 Flex Pro,"Los Angeles, California","February 19, 2011",Dan Hill,Germany,70,68,,,,138,13,Men's Bodybuilding
2011 Flex Pro,"Los Angeles, California","February 19, 2011",Ben White,USA,29,32,,,,61,6,Men's Bodybuilding
2011 Flex Pro,"Los Angeles, California","February 19, 2011",Constantinos Demetriou,Australia,65,53,,,,118,11,Men's Bodybuilding
2011 Flex Pro,"Los Angeles, California","February 19, 2011",Milton Holloway,USA,79,73,,,,152,14,Men's Bodybuilding
2011 Flex Pro,"Los Angeles, California","February 19, 2011",Stan Efferding,USA,51,44,,,,95,9,Men's Bodybuilding
2011 Flex Pro,"Los Angeles, California","February 19, 2011",Fouad Abiad,Canada,17,17,,,,34,3,Men's Bodybuilding
2011 Flex Pro,"Los Angeles, California","February 19, 2011",Jojo Ntiforo,USA,76,80,,,,156,15,Men's Bodybuilding
2011 Flex Pro,"Los Angeles, California","February 19, 2011",Vladimir Sizov,USA,38,36,,,,74,8,Men's Bodybuilding
2011 Flex Pro,"Los Angeles, California","February 19, 2011",Dainus Barzinskas,Lithuania,80,77,,,,157,16,Men's Bodybuilding
2011 Flex Pro,"Los Angeles, California","February 19, 2011",Dennis Wolf,Germany,18,18,,,,36,4,Men's Bodybuilding
2011 Flex Pro,"Los Angeles, California","February 19, 2011",Omar Deckard,USA,54,53,,,,107,10,Men's Bodybuilding
2011 Flex Pro,"Los Angeles, California","February 19, 2011",Wendell Floyd,USA,80,77,,,,157,16,Men's Bodybuilding
2011 Flex Pro,"Los Angeles, California","February 19, 2011",Robert Belisle,Canada,63,60,,,,123,12,Men's Bodybuilding
2011 Flex Pro,"Los Angeles, California","February 19, 2011",Evan Centopani,USA,6,6,,,,12,1,Men's Bodybuilding
2011 Flex Pro,"Los Angeles, California","February 19, 2011",Grigori Atoyan,USA,37,35,,,,72,7,Men's Bodybuilding
2011 Flex Pro,"Los Angeles, California","February 19, 2011",Dexter Jackson,USA,9,9,,,,18,2,Men's Bodybuilding
2011 Arnold Classic,"Columbus, Ohio","March 5, 2011",Jessica Putnam,USA,20,,,,,20,4,Bikini
2011 Arnold Classic,"Columbus, Ohio","March 5, 2011",Jelena Abbou,USA,56,,,,,56,11,Bikini
2011 Arnold Classic,"Columbus, Ohio","March 5, 2011",Jessica Clay,USA,73,,,,,73,14,Bikini
2011 Arnold Classic,"Columbus, Ohio","March 5, 2011",Nicole Nagrani,USA,5,,,,,5,1,Bikini
2011 Arnold Classic,"Columbus, Ohio","March 5, 2011",Missy Coles,USA,75,,,,,75,15,Bikini
2011 Arnold Classic,"Columbus, Ohio","March 5, 2011",Nathalia Melo,USA,13,,,,,13,3,Bikini
2011 Arnold Classic,"Columbus, Ohio","March 5, 2011","Willeke ""Wicky"" Davis",Netherlands,77,,,,,77,16,Bikini
2011 Arnold Classic,"Columbus, Ohio","March 5, 2011",Sonia Gonzales,USA,12,,,,,12,2,Bikini
2011 Arnold Classic,"Columbus, Ohio","March 5, 2011",Amanda Latona,USA,30,,,,,30,6,Bikini
2011 Arnold Classic,"Columbus, Ohio","March 5, 2011",Jaime Baird,USA,25,,,,,25,5,Bikini
2011 Arnold Classic,"Columbus, Ohio","March 5, 2011",Shelsea Montes,USA,60,,,,,60,12,Bikini
2011 Arnold Classic,"Columbus, Ohio","March 5, 2011",Justine Munro,Canada,40,,,,,40,8,Bikini
2011 Arnold Classic,"Columbus, Ohio","March 5, 2011",Dina Al-Sabah,Kuwait,60,,,,,60,12,Bikini
2011 Arnold Classic,"Columbus, Ohio","March 5, 2011",Jennifer Andrews,USA,43,,,,,43,9,Bikini
2011 Arnold Classic,"Columbus, Ohio","March 5, 2011",Alison Rosen,USA,38,,,,,38,7,Bikini
2011 Arnold Classic,"Columbus, Ohio","March 5, 2011",Naomi Olah,Hungary,53,,,,,53,10,Bikini
2011 IFBB Arnold Classic,"Columbus, Ohio","March 4, 2011",Rosa Maria Romero,Australia,,,,,,64,12,Figure
2011 IFBB Arnold Classic,"Columbus, Ohio","March 4, 2011",Courtney West,USA,,,,,,30,6,Figure
2011 IFBB Arnold Classic,"Columbus, Ohio","March 4, 2011",Alicia Harris,USA,,,,,,69,14,Figure
2011 IFBB Arnold Classic,"Columbus, Ohio","March 4, 2011",Ava Cowan,USA,,,,,,15,3,Figure
2011 IFBB Arnold Classic,"Columbus, Ohio","March 4, 2011",Chelsey Morganstern,USA,,,,,,67,13,Figure
2011 IFBB Arnold Classic,"Columbus, Ohio","March 4, 2011",Cheryl Brown,USA,,,,,,25,5,Figure
2011 IFBB Arnold Classic,"Columbus, Ohio","March 4, 2011",Erin Stern,USA,,,,,,10,2,Figure
2011 IFBB Arnold Classic,"Columbus, Ohio","March 4, 2011",Monica Specking,USA,,,,,,70,15,Figure
